Dealer,State,SaleDate,Make,Model,Year,Mileage,SalePrice,CostPrice,Profit,PaymentType,CustomerType,DaysOnLot,CarType
Bay Area Toyota,CA,2022-04-21,Toyota,Rav4,2012,59217,18955,16846,2108,Cash,New,54,SUV
Brooklyn Toyota,NY,2023-01-14,Toyota,Tundra,2024,64917,26855,25253,1601,Cash,Returning,66,Truck
San Diego Toyota,CA,2020-08-22,Toyota,Tacoma,2024,30272,26861,23214,3647,Lease,Returning,43,Truck
Queens Toyota,NY,2023-02-19,Toyota,Tundra,2024,64159,29644,25479,4165,Cash,New,34,Truck
Toyota of Manhattan,NY,2023-10-19,Toyota,Camry,2011,60801,19174,15679,3495,Loan,New,33,Sedan
Toyota of Houston,TX,2024-05-15,Toyota,Highlander,2018,32676,31792,27457,4334,Loan,New,50,SUV
Toyota of Manhattan,NY,2023-05-23,Toyota,Prius,2016,62430,20320,16570,3749,Loan,Returning,53,Hatchback
San Diego Toyota,CA,2017-10-18,Toyota,Highlander,2014,51332,16051,13554,2496,Cash,New,43,SUV
Toyota of Manhattan,NY,2019-10-22,Toyota,Tundra,2024,21846,36679,29964,6715,Cash,New,67,Truck
Queens Toyota,NY,2015-07-08,Toyota,Rav4,2023,27308,33495,29682,3812,Cash,New,35,SUV
Queens Toyota,NY,2019-05-02,Toyota,Rav4,2013,61971,29736,25396,4339,Loan,Returning,38,SUV
Toyota of Los Angeles,CA,2019-07-12,Toyota,Rav4,2010,76559,20123,19091,1032,Lease,New,38,SUV
Dallas Toyota,TX,2021-05-13,Toyota,Rav4,2012,56175,17486,16531,955,Loan,New,48,SUV
Dallas Toyota,TX,2016-08-01,Toyota,Tundra,2022,12697,28492,25451,3040,Cash,New,26,Truck
Brooklyn Toyota,NY,2020-10-07,Toyota,Tacoma,2022,20551,32170,27695,4474,Cash,New,43,Truck
Toyota of Los Angeles,CA,2018-08-16,Toyota,Rav4,2013,65067,20297,18796,1500,Loan,Returning,33,SUV
Toyota of Los Angeles,CA,2020-11-21,Toyota,Highlander,2013,74928,18213,15923,2290,Lease,Returning,11,SUV
Toyota of Manhattan,NY,2015-03-05,Toyota,Tacoma,2014,100435,14932,13811,1121,Cash,Returning,13,Truck
Toyota of Manhattan,NY,2022-10-17,Toyota,Tundra,2022,31456,35298,31338,3959,Loan,New,60,Truck
Queens Toyota,NY,2024-01-23,Toyota,Tundra,2016,71794,22195,20655,1539,Loan,New,17,Truck
Toyota of Manhattan,NY,2020-08-21,Toyota,Camry,2022,18252,37336,30273,7063,Loan,Returning,36,Sedan
Austin Toyota,TX,2019-09-08,Toyota,Corolla,2015,74590,24305,19511,4794,Loan,Returning,55,Sedan
Toyota of Los Angeles,CA,2023-06-17,Toyota,Camry,2020,35711,33270,26973,6296,Lease,New,41,Sedan
Dallas Toyota,TX,2019-11-13,Toyota,Highlander,2012,50232,19587,18067,1520,Loan,Returning,30,SUV
Toyota of Houston,TX,2023-04-27,Toyota,Corolla,2024,24333,33653,28031,5622,Loan,New,31,Sedan
Dallas Toyota,TX,2015-09-12,Toyota,Corolla,2018,29903,26398,21964,4433,Cash,Returning,38,Sedan
Dallas Toyota,TX,2022-09-19,Toyota,Tacoma,2024,29263,38987,35556,3431,Loan,New,43,Truck
Toyota of Los Angeles,CA,2016-09-18,Toyota,Prius,2020,50649,26627,22263,4363,Loan,Returning,43,Hatchback
Queens Toyota,NY,2015-08-22,Toyota,Prius,2022,56993,31154,25277,5876,Cash,Returning,43,Hatchback
Toyota of Houston,TX,2019-06-23,Toyota,Highlander,2018,57165,20100,17002,3097,Cash,New,39,SUV
Queens Toyota,NY,2015-01-07,Toyota,Camry,2020,13304,30906,29172,1734,Lease,Returning,13,Sedan
Toyota of Los Angeles,CA,2021-04-01,Toyota,Rav4,2014,68796,30165,28028,2137,Lease,New,27,SUV
Austin Toyota,TX,2021-12-09,Toyota,Camry,2019,71139,33352,30995,2357,Lease,Returning,32,Sedan
Austin Toyota,TX,2019-03-22,Toyota,Tacoma,2015,94160,22109,20846,1262,Lease,New,39,Truck
Queens Toyota,NY,2019-11-17,Toyota,Prius,2014,74107,24141,19680,4460,Cash,Returning,42,Hatchback
Austin Toyota,TX,2018-07-27,Toyota,Prius,2013,82579,14580,13433,1146,Loan,New,65,Hatchback
San Diego Toyota,CA,2022-12-25,Toyota,Corolla,2019,43020,26938,24454,2483,Loan,New,27,Sedan
Brooklyn Toyota,NY,2020-12-12,Toyota,Highlander,2020,38297,33291,28699,4592,Lease,New,26,SUV
Dallas Toyota,TX,2020-09-07,Toyota,Tacoma,2015,62640,23936,22237,1699,Loan,Returning,54,Truck
Dallas Toyota,TX,2022-04-21,Toyota,Tacoma,2010,44666,13447,12241,1206,Loan,New,57,Truck
Toyota of Manhattan,NY,2024-09-21,Toyota,Prius,2018,35608,31565,29120,2445,Loan,Returning,49,Hatchback
Austin Toyota,TX,2022-03-12,Toyota,Rav4,2017,70807,23582,19678,3904,Cash,New,49,SUV
Toyota of Manhattan,NY,2016-07-28,Toyota,Tundra,2021,22680,34668,27866,6801,Loan,New,29,Truck
Austin Toyota,TX,2024-03-22,Toyota,Camry,2023,0,36186,31332,4854,Cash,New,27,Sedan
Toyota of Los Angeles,CA,2015-07-15,Toyota,Prius,2017,58943,19219,15504,3714,Loan,New,43,Hatchback
Toyota of Manhattan,NY,2015-05-14,Toyota,Corolla,2018,54936,28269,23598,4670,Loan,Returning,24,Sedan
Queens Toyota,NY,2022-06-27,Toyota,Highlander,2010,81170,15802,14749,1052,Loan,New,31,SUV
Brooklyn Toyota,NY,2023-03-09,Toyota,Corolla,2017,49802,20276,18047,2228,Cash,New,59,Sedan
Toyota of Los Angeles,CA,2015-04-01,Toyota,Prius,2022,13862,28340,23818,4522,Loan,New,50,Hatchback
Dallas Toyota,TX,2022-08-21,Toyota,Corolla,2022,19646,26546,22265,4280,Loan,New,37,Sedan
Dallas Toyota,TX,2022-03-20,Toyota,Corolla,2018,63162,27686,22305,5380,Lease,New,42,Sedan
Toyota of Houston,TX,2021-08-25,Toyota,Camry,2012,91874,21730,19786,1944,Loan,New,34,Sedan
Toyota of Manhattan,NY,2015-08-19,Toyota,Tacoma,2012,66850,21698,18255,3442,Loan,New,21,Truck
Toyota of Houston,TX,2017-10-27,Toyota,Highlander,2024,41550,35550,30168,5382,Loan,New,42,SUV
Toyota of Manhattan,NY,2023-08-24,Toyota,Rav4,2023,23106,26450,21415,5035,Loan,New,23,SUV
Bay Area Toyota,CA,2019-03-24,Toyota,Prius,2011,61917,17377,15653,1724,Loan,New,38,Hatchback
San Diego Toyota,CA,2018-09-20,Toyota,Tundra,2013,77328,27056,22637,4418,Loan,New,16,Truck
San Diego Toyota,CA,2022-12-15,Toyota,Tundra,2015,89587,19506,17719,1786,Loan,New,23,Truck
Bay Area Toyota,CA,2021-08-22,Toyota,Corolla,2020,60415,21990,18791,3199,Lease,New,22,Sedan
Austin Toyota,TX,2021-05-14,Toyota,Corolla,2014,38657,22253,17849,4403,Lease,Returning,63,Sedan
Toyota of Houston,TX,2015-04-02,Toyota,Camry,2024,3414,31972,26012,5959,Cash,New,56,Sedan
San Diego Toyota,CA,2020-04-04,Toyota,Camry,2010,80871,17431,16019,1411,Loan,Returning,37,Sedan
San Diego Toyota,CA,2022-04-06,Toyota,Corolla,2015,65171,23948,20438,3510,Loan,New,39,Sedan
Bay Area Toyota,CA,2018-02-09,Toyota,Tacoma,2020,26613,23888,21043,2845,Loan,New,72,Truck
Queens Toyota,NY,2019-01-02,Toyota,Corolla,2016,86726,23707,20594,3113,Cash,New,25,Sedan
Bay Area Toyota,CA,2022-07-01,Toyota,Tacoma,2023,52405,34292,31966,2325,Loan,New,37,Truck
San Diego Toyota,CA,2019-10-27,Toyota,Tacoma,2023,2896,38179,32565,5614,Cash,New,31,Truck
Bay Area Toyota,CA,2023-03-14,Toyota,Rav4,2016,45334,24508,22898,1609,Lease,New,60,SUV
Toyota of Houston,TX,2022-03-28,Toyota,Camry,2012,85698,13509,12407,1102,Loan,New,33,Sedan
Brooklyn Toyota,NY,2021-01-16,Toyota,Prius,2020,34332,32480,30343,2136,Loan,New,45,Hatchback
Dallas Toyota,TX,2016-09-16,Toyota,Camry,2020,39533,23726,20975,2750,Loan,New,63,Sedan
Queens Toyota,NY,2023-02-19,Toyota,Tacoma,2021,20054,32348,26535,5813,Cash,Returning,42,Truck
Toyota of Houston,TX,2018-01-12,Toyota,Tundra,2017,3516,30095,24079,6016,Lease,New,31,Truck
Dallas Toyota,TX,2018-11-10,Toyota,Tacoma,2023,37992,30663,24912,5750,Loan,New,33,Truck
Toyota of Houston,TX,2019-01-05,Toyota,Tundra,2014,69312,17038,15669,1369,Loan,New,44,Truck
Toyota of Los Angeles,CA,2021-01-04,Toyota,Tundra,2015,47523,23925,21192,2732,Loan,New,53,Truck
Toyota of Manhattan,NY,2015-01-19,Toyota,Camry,2023,44179,31343,27714,3628,Loan,Returning,18,Sedan
Queens Toyota,NY,2021-10-14,Toyota,Highlander,2012,80794,13218,11345,1873,Loan,New,41,SUV
Brooklyn Toyota,NY,2019-09-22,Toyota,Tacoma,2021,61027,32282,28752,3530,Cash,New,36,Truck
Toyota of Los Angeles,CA,2016-06-19,Toyota,Prius,2019,48776,23679,19437,4241,Loan,Returning,29,Hatchback
San Diego Toyota,CA,2023-04-16,Toyota,Tundra,2022,49899,33312,27993,5319,Lease,Returning,42,Truck
Toyota of Houston,TX,2022-07-08,Toyota,Tundra,2021,47188,41307,38232,3074,Cash,New,50,Truck
Queens Toyota,NY,2024-01-05,Toyota,Rav4,2020,20818,26256,24332,1923,Loan,New,27,SUV
San Diego Toyota,CA,2015-07-01,Toyota,Tundra,2013,50302,18668,14993,3675,Loan,Returning,43,Truck
San Diego Toyota,CA,2021-06-14,Toyota,Tundra,2011,78569,25634,22591,3043,Loan,New,26,Truck
Bay Area Toyota,CA,2019-07-18,Toyota,Highlander,2020,71975,32123,27046,5077,Cash,New,33,SUV
Dallas Toyota,TX,2019-11-05,Toyota,Prius,2010,76450,17561,16668,892,Cash,New,67,Hatchback
Queens Toyota,NY,2020-07-03,Toyota,Prius,2019,43928,32640,27749,4891,Cash,New,46,Hatchback
Austin Toyota,TX,2021-04-20,Toyota,Camry,2012,25752,17814,14276,3537,Loan,Returning,24,Sedan
Dallas Toyota,TX,2015-02-22,Toyota,Tacoma,2018,37408,22209,19985,2224,Loan,New,44,Truck
Bay Area Toyota,CA,2017-11-24,Toyota,Rav4,2018,36344,31565,29145,2419,Cash,New,40,SUV
Toyota of Houston,TX,2023-03-23,Toyota,Highlander,2017,68411,15062,14000,1062,Cash,New,30,SUV
San Diego Toyota,CA,2023-09-20,Toyota,Tundra,2016,78157,14170,11555,2614,Loan,New,31,Truck
Bay Area Toyota,CA,2020-10-14,Toyota,Prius,2014,76642,16445,13775,2669,Lease,Returning,47,Hatchback
San Diego Toyota,CA,2017-03-21,Toyota,Corolla,2015,37441,21617,17662,3954,Cash,New,68,Sedan
San Diego Toyota,CA,2024-08-17,Toyota,Tundra,2024,58413,33630,29782,3847,Loan,New,49,Truck
Brooklyn Toyota,NY,2021-12-05,Toyota,Corolla,2023,14073,28249,23691,4558,Cash,Returning,45,Sedan
Toyota of Houston,TX,2022-05-02,Toyota,Highlander,2011,101076,10980,9446,1533,Loan,New,40,SUV
Bay Area Toyota,CA,2021-04-15,Toyota,Tundra,2016,40770,27694,24299,3394,Loan,Returning,68,Truck
Toyota of Los Angeles,CA,2021-09-07,Toyota,Camry,2015,59483,24527,20485,4041,Loan,New,40,Sedan
Bay Area Toyota,CA,2024-04-25,Toyota,Prius,2021,21572,32752,29293,3459,Loan,New,48,Hatchback
Bay Area Toyota,CA,2023-08-03,Toyota,Camry,2011,96875,15785,14533,1251,Cash,Returning,24,Sedan
Brooklyn Toyota,NY,2021-10-11,Toyota,Camry,2023,42837,34116,29356,4760,Loan,New,44,Sedan
Toyota of Houston,TX,2024-08-28,Toyota,Highlander,2021,21144,29406,26011,3395,Cash,New,47,SUV
Toyota of Houston,TX,2022-12-08,Toyota,Prius,2020,45949,32889,30176,2713,Cash,New,54,Hatchback
Queens Toyota,NY,2021-02-10,Toyota,Prius,2024,11106,33872,31625,2247,Cash,New,78,Hatchback
Toyota of Los Angeles,CA,2023-07-25,Toyota,Tacoma,2022,1378,25011,20768,4243,Loan,New,29,Truck
Toyota of Houston,TX,2015-11-20,Toyota,Highlander,2016,19851,30436,28436,1999,Cash,New,14,SUV
Bay Area Toyota,CA,2016-06-12,Toyota,Camry,2018,32832,20473,17236,3236,Cash,New,39,Sedan
San Diego Toyota,CA,2016-10-19,Toyota,Highlander,2020,72428,19475,16001,3473,Loan,New,6,SUV
Bay Area Toyota,CA,2022-04-02,Toyota,Tundra,2017,74354,18609,16360,2248,Loan,New,21,Truck
Dallas Toyota,TX,2024-05-18,Toyota,Camry,2013,51706,22441,20043,2397,Loan,Returning,56,Sedan
Queens Toyota,NY,2024-07-20,Toyota,Rav4,2019,40913,26372,23041,3331,Loan,New,12,SUV
Bay Area Toyota,CA,2015-12-27,Toyota,Rav4,2024,8736,32842,26430,6411,Loan,Returning,32,SUV
Austin Toyota,TX,2016-01-06,Toyota,Rav4,2018,27848,24420,23096,1323,Cash,New,39,SUV
Queens Toyota,NY,2023-06-23,Toyota,Highlander,2013,69086,21537,17646,3890,Loan,New,48,SUV
San Diego Toyota,CA,2023-01-28,Toyota,Tundra,2021,49772,32539,30039,2500,Cash,New,67,Truck
San Diego Toyota,CA,2017-04-13,Toyota,Camry,2022,6274,35203,32483,2719,Loan,New,26,Sedan
Dallas Toyota,TX,2018-05-18,Toyota,Prius,2012,105724,17704,15907,1796,Loan,Returning,60,Hatchback
Toyota of Los Angeles,CA,2018-07-20,Toyota,Prius,2015,50954,25949,21904,4044,Lease,New,42,Hatchback
Bay Area Toyota,CA,2022-04-02,Toyota,Corolla,2015,34699,26765,22851,3914,Loan,New,61,Sedan
Dallas Toyota,TX,2023-08-23,Toyota,Camry,2024,27596,36093,32969,3124,Loan,New,41,Sedan
Toyota of Los Angeles,CA,2021-03-06,Toyota,Prius,2013,86509,10997,9817,1180,Cash,Returning,32,Hatchback
San Diego Toyota,CA,2024-11-18,Toyota,Camry,2013,53770,19147,15695,3451,Lease,New,32,Sedan
San Diego Toyota,CA,2023-05-20,Toyota,Tacoma,2012,57546,24230,20305,3924,Loan,New,37,Truck
Austin Toyota,TX,2021-03-17,Toyota,Highlander,2023,17645,29419,24066,5352,Loan,New,41,SUV
Bay Area Toyota,CA,2015-12-03,Toyota,Corolla,2019,28127,28653,26482,2171,Lease,New,27,Sedan
Toyota of Los Angeles,CA,2016-04-03,Toyota,Tundra,2015,57294,26720,22589,4131,Lease,Returning,32,Truck
Dallas Toyota,TX,2022-05-21,Toyota,Corolla,2024,16359,37257,32290,4966,Loan,New,31,Sedan
San Diego Toyota,CA,2017-07-16,Toyota,Highlander,2020,48523,27342,22566,4776,Loan,New,27,SUV
San Diego Toyota,CA,2024-11-17,Toyota,Camry,2021,45141,27175,21785,5389,Loan,Returning,44,Sedan
Brooklyn Toyota,NY,2023-07-12,Toyota,Highlander,2021,68600,19380,15767,3613,Loan,Returning,39,SUV
San Diego Toyota,CA,2019-01-22,Toyota,Tacoma,2020,73476,23537,20690,2846,Loan,New,37,Truck
Austin Toyota,TX,2016-06-10,Toyota,Corolla,2022,52766,30565,25194,5370,Loan,Returning,32,Sedan
Austin Toyota,TX,2015-10-27,Toyota,Corolla,2024,21159,26816,22017,4798,Loan,New,48,Sedan
Toyota of Houston,TX,2016-08-11,Toyota,Prius,2024,23131,29369,25439,3929,Loan,New,38,Hatchback
Toyota of Houston,TX,2024-02-27,Toyota,Camry,2016,61153,22651,18541,4109,Loan,New,47,Sedan
Toyota of Houston,TX,2019-04-11,Toyota,Highlander,2019,44531,26240,24217,2023,Loan,New,35,SUV
Dallas Toyota,TX,2021-10-08,Toyota,Tundra,2022,12612,23491,19554,3936,Lease,New,55,Truck
Austin Toyota,TX,2017-12-10,Toyota,Rav4,2012,46393,27391,24021,3370,Loan,New,33,SUV
Bay Area Toyota,CA,2023-03-11,Toyota,Camry,2013,67985,16407,14758,1648,Cash,New,49,Sedan
Brooklyn Toyota,NY,2020-12-14,Toyota,Rav4,2018,41326,21981,20652,1328,Cash,New,41,SUV
Queens Toyota,NY,2020-12-27,Toyota,Camry,2019,34695,24923,23264,1658,Lease,New,53,Sedan
Toyota of Los Angeles,CA,2019-11-28,Toyota,Tundra,2017,62109,20320,16417,3903,Lease,Returning,31,Truck
Queens Toyota,NY,2017-04-17,Toyota,Tacoma,2020,45347,34675,28631,6043,Loan,New,42,Truck
Austin Toyota,TX,2017-11-23,Toyota,Corolla,2019,34598,24535,21927,2607,Loan,New,55,Sedan
Austin Toyota,TX,2024-11-25,Toyota,Tacoma,2011,80025,17679,16116,1563,Loan,Returning,50,Truck
Queens Toyota,NY,2022-03-12,Toyota,Tacoma,2017,59075,18297,16473,1824,Loan,Returning,30,Truck
Queens Toyota,NY,2023-02-04,Toyota,Corolla,2015,72486,19957,17572,2384,Cash,Returning,39,Sedan
Austin Toyota,TX,2021-10-25,Toyota,Rav4,2022,49681,27683,25100,2582,Cash,New,39,SUV
Bay Area Toyota,CA,2024-10-07,Toyota,Tundra,2014,54978,18206,16728,1478,Lease,New,23,Truck
Toyota of Manhattan,NY,2021-05-12,Toyota,Tundra,2019,9082,25126,21020,4106,Loan,New,61,Truck
Queens Toyota,NY,2019-10-13,Toyota,Tundra,2014,59281,18847,15314,3532,Loan,New,37,Truck
Bay Area Toyota,CA,2017-10-24,Toyota,Rav4,2017,58425,22381,18006,4374,Cash,Returning,30,SUV
Dallas Toyota,TX,2021-01-22,Toyota,Tundra,2019,62630,30237,27326,2910,Loan,New,53,Truck
San Diego Toyota,CA,2022-01-25,Toyota,Tacoma,2013,47108,25903,24016,1887,Loan,New,43,Truck
Dallas Toyota,TX,2018-03-04,Toyota,Corolla,2023,47299,35812,31838,3974,Loan,New,44,Sedan
Austin Toyota,TX,2017-07-08,Toyota,Highlander,2015,65452,23678,19493,4184,Loan,New,55,SUV
Bay Area Toyota,CA,2019-09-06,Toyota,Tundra,2010,82941,14564,13794,770,Loan,New,44,Truck
Toyota of Houston,TX,2016-06-13,Toyota,Rav4,2022,48132,27978,25421,2557,Cash,Returning,45,SUV
Toyota of Los Angeles,CA,2016-01-04,Toyota,Prius,2013,53721,24567,20174,4392,Cash,New,22,Hatchback
Brooklyn Toyota,NY,2018-01-02,Toyota,Highlander,2012,99944,17288,14710,2578,Loan,New,55,SUV
Toyota of Los Angeles,CA,2017-04-14,Toyota,Tacoma,2020,71152,25429,20350,5079,Loan,Returning,50,Truck
Austin Toyota,TX,2019-03-13,Toyota,Rav4,2023,10593,31706,28901,2804,Cash,New,29,SUV
Queens Toyota,NY,2024-05-05,Toyota,Tacoma,2013,61490,21804,19774,2030,Cash,Returning,22,Truck
San Diego Toyota,CA,2015-02-23,Toyota,Prius,2024,10782,39727,36550,3176,Cash,New,27,Hatchback
Queens Toyota,NY,2021-12-14,Toyota,Tundra,2016,87080,16984,16123,861,Loan,New,33,Truck
Austin Toyota,TX,2020-07-09,Toyota,Highlander,2018,51573,24163,21587,2575,Cash,Returning,24,SUV
Toyota of Houston,TX,2022-12-24,Toyota,Rav4,2017,52733,22996,20049,2946,Loan,Returning,18,SUV
Bay Area Toyota,CA,2018-10-13,Toyota,Corolla,2024,33542,30749,25348,5401,Cash,Returning,45,Sedan
San Diego Toyota,CA,2020-12-13,Toyota,Highlander,2023,36881,33043,30982,2060,Lease,New,39,SUV
Austin Toyota,TX,2023-12-18,Toyota,Camry,2023,28890,40489,34712,5776,Loan,Returning,26,Sedan
Toyota of Manhattan,NY,2019-08-24,Toyota,Camry,2020,58645,26936,22400,4535,Lease,Returning,45,Sedan
Bay Area Toyota,CA,2022-09-09,Toyota,Tundra,2018,60822,20058,17631,2427,Loan,Returning,53,Truck
Toyota of Houston,TX,2017-09-04,Toyota,Rav4,2018,34274,22271,20710,1561,Loan,New,36,SUV
Toyota of Manhattan,NY,2015-10-22,Toyota,Rav4,2019,48775,24548,21987,2560,Loan,Returning,26,SUV
San Diego Toyota,CA,2020-03-27,Toyota,Prius,2015,52392,18200,15506,2693,Loan,New,49,Hatchback
San Diego Toyota,CA,2021-12-16,Toyota,Rav4,2020,51562,29802,24148,5654,Loan,Returning,14,SUV
Queens Toyota,NY,2017-10-18,Toyota,Prius,2024,48866,29948,27735,2212,Loan,New,44,Hatchback
San Diego Toyota,CA,2015-04-09,Toyota,Prius,2020,19500,27713,23506,4206,Loan,Returning,26,Hatchback
Toyota of Manhattan,NY,2019-09-15,Toyota,Highlander,2019,56633,21996,18946,3050,Loan,Returning,46,SUV
Dallas Toyota,TX,2019-01-05,Toyota,Prius,2023,34488,32847,26405,6441,Loan,New,62,Hatchback
Toyota of Los Angeles,CA,2021-11-27,Toyota,Corolla,2023,45571,27016,25508,1508,Cash,New,43,Sedan
Queens Toyota,NY,2023-02-01,Toyota,Tacoma,2018,57641,26547,23951,2596,Loan,New,39,Truck
Toyota of Houston,TX,2020-11-15,Toyota,Prius,2022,23191,28056,23199,4856,Loan,Returning,26,Hatchback
Toyota of Manhattan,NY,2024-10-09,Toyota,Tacoma,2020,47811,25852,21314,4537,Loan,New,27,Truck
Bay Area Toyota,CA,2020-03-03,Toyota,Tacoma,2013,67198,22694,21547,1147,Cash,New,56,Truck
Toyota of Manhattan,NY,2017-12-22,Toyota,Tacoma,2017,45433,26890,21847,5043,Loan,New,34,Truck
San Diego Toyota,CA,2016-01-14,Toyota,Prius,2022,62861,22697,19068,3629,Loan,New,6,Hatchback
Toyota of Los Angeles,CA,2024-01-25,Toyota,Tacoma,2013,70131,21771,18470,3300,Loan,New,58,Truck
Bay Area Toyota,CA,2024-11-12,Toyota,Rav4,2013,59383,15616,12500,3115,Loan,New,47,SUV
Austin Toyota,TX,2022-09-17,Toyota,Tacoma,2024,38605,33590,29822,3768,Lease,New,30,Truck
Queens Toyota,NY,2017-08-03,Toyota,Tundra,2020,45903,31560,25486,6073,Loan,New,43,Truck
Dallas Toyota,TX,2020-08-12,Toyota,Prius,2012,29378,20854,17358,3496,Lease,Returning,23,Hatchback
Toyota of Manhattan,NY,2022-03-05,Toyota,Prius,2021,45529,24158,21753,2405,Loan,New,45,Hatchback
Toyota of Houston,TX,2024-10-25,Toyota,Tacoma,2015,55788,26403,23838,2564,Cash,New,38,Truck
Toyota of Los Angeles,CA,2017-10-08,Toyota,Tacoma,2018,55812,27970,24990,2979,Cash,New,31,Truck
Toyota of Manhattan,NY,2017-05-21,Toyota,Tacoma,2013,67290,23858,19624,4234,Lease,Returning,32,Truck
Dallas Toyota,TX,2021-06-27,Toyota,Prius,2019,49216,27937,26209,1727,Loan,New,25,Hatchback
Austin Toyota,TX,2015-06-21,Toyota,Prius,2017,32147,22298,18204,4093,Loan,New,31,Hatchback
Brooklyn Toyota,NY,2020-12-06,Toyota,Tacoma,2015,63219,21468,18347,3121,Loan,New,51,Truck
Toyota of Los Angeles,CA,2023-11-24,Toyota,Prius,2015,71182,20350,18478,1872,Loan,New,30,Hatchback
Queens Toyota,NY,2021-06-05,Toyota,Tundra,2024,13560,24153,20353,3800,Loan,New,49,Truck
Bay Area Toyota,CA,2017-10-11,Toyota,Highlander,2018,18192,18469,14948,3520,Loan,Returning,48,SUV
Dallas Toyota,TX,2021-03-04,Toyota,Prius,2015,74877,19887,16781,3105,Loan,Returning,55,Hatchback
Toyota of Houston,TX,2021-06-07,Toyota,Rav4,2010,86527,16577,14125,2452,Lease,New,46,SUV
Brooklyn Toyota,NY,2019-12-10,Toyota,Tundra,2019,33448,25813,23217,2595,Loan,New,43,Truck
Brooklyn Toyota,NY,2018-01-21,Toyota,Prius,2012,78536,21245,17068,4176,Cash,Returning,44,Hatchback
Brooklyn Toyota,NY,2018-09-28,Toyota,Tundra,2020,43007,28039,26077,1962,Loan,Returning,1,Truck
Austin Toyota,TX,2020-09-17,Toyota,Rav4,2024,89216,24006,19782,4223,Lease,New,29,SUV
Bay Area Toyota,CA,2024-06-28,Toyota,Tundra,2019,40336,26776,22313,4462,Loan,New,49,Truck
Dallas Toyota,TX,2020-01-24,Toyota,Corolla,2016,40672,20857,17419,3438,Lease,New,50,Sedan
Brooklyn Toyota,NY,2017-06-24,Toyota,Corolla,2024,46077,30448,27061,3387,Loan,New,19,Sedan
Brooklyn Toyota,NY,2016-03-06,Toyota,Camry,2016,49648,18327,16338,1988,Lease,Returning,31,Sedan
Brooklyn Toyota,NY,2016-01-12,Toyota,Tundra,2012,98899,14686,12926,1760,Loan,New,56,Truck
Dallas Toyota,TX,2017-09-10,Toyota,Camry,2024,37798,36526,34630,1895,Cash,New,25,Sedan
Queens Toyota,NY,2018-12-20,Toyota,Tacoma,2023,32953,34997,30666,4330,Cash,Returning,39,Truck
Queens Toyota,NY,2017-03-09,Toyota,Tundra,2023,24053,29515,27716,1798,Loan,New,21,Truck
Dallas Toyota,TX,2017-08-12,Toyota,Tacoma,2023,52521,28710,26274,2436,Loan,Returning,56,Truck
Toyota of Los Angeles,CA,2016-01-07,Toyota,Highlander,2017,58485,28554,26462,2091,Loan,New,53,SUV
Queens Toyota,NY,2017-07-27,Toyota,Rav4,2018,2776,24162,21341,2821,Loan,New,42,SUV
Brooklyn Toyota,NY,2022-09-03,Toyota,Tacoma,2023,50962,24400,20742,3657,Cash,New,44,Truck
Toyota of Manhattan,NY,2020-02-24,Toyota,Tundra,2022,22576,28571,26588,1983,Cash,New,33,Truck
San Diego Toyota,CA,2015-12-07,Toyota,Camry,2020,48259,28727,23490,5236,Loan,New,72,Sedan
Queens Toyota,NY,2017-06-14,Toyota,Prius,2018,64514,27242,22962,4280,Loan,Returning,56,Hatchback
Toyota of Houston,TX,2019-12-15,Toyota,Camry,2010,97764,19082,16550,2531,Lease,Returning,46,Sedan
Toyota of Los Angeles,CA,2016-04-19,Toyota,Rav4,2014,56395,21830,17544,4286,Lease,New,30,SUV
Toyota of Los Angeles,CA,2023-12-12,Toyota,Rav4,2012,58546,14882,14080,801,Loan,New,31,SUV
Toyota of Los Angeles,CA,2022-07-14,Toyota,Tacoma,2014,79533,15575,13953,1621,Lease,New,48,Truck
Dallas Toyota,TX,2021-12-22,Toyota,Camry,2016,45272,26379,22051,4327,Lease,New,43,Sedan
Toyota of Los Angeles,CA,2020-01-11,Toyota,Highlander,2019,49018,29081,24854,4227,Cash,Returning,58,SUV
Dallas Toyota,TX,2016-06-04,Toyota,Tundra,2011,108724,14774,13766,1007,Cash,New,22,Truck
Brooklyn Toyota,NY,2020-01-25,Toyota,Camry,2023,45139,28838,26978,1859,Loan,New,45,Sedan
Toyota of Manhattan,NY,2022-05-20,Toyota,Rav4,2016,73747,18485,16961,1524,Cash,New,61,SUV
Toyota of Houston,TX,2017-05-25,Toyota,Highlander,2012,59212,21810,20621,1189,Loan,New,15,SUV
Dallas Toyota,TX,2015-08-10,Toyota,Corolla,2020,19564,26356,23876,2479,Cash,New,47,Sedan
Austin Toyota,TX,2021-04-27,Toyota,Rav4,2010,70215,15123,12598,2525,Loan,New,28,SUV
Austin Toyota,TX,2016-10-22,Toyota,Rav4,2016,71108,23208,20073,3135,Loan,New,64,SUV
Queens Toyota,NY,2018-11-07,Toyota,Highlander,2020,51825,23807,19356,4450,Loan,Returning,50,SUV
Bay Area Toyota,CA,2022-10-11,Toyota,Prius,2017,65990,19731,16451,3280,Lease,New,40,Hatchback
Austin Toyota,TX,2020-06-20,Toyota,Tacoma,2023,50912,29559,27309,2250,Loan,New,46,Truck
Dallas Toyota,TX,2015-01-23,Toyota,Rav4,2023,0,32155,27427,4727,Lease,New,61,SUV
